# Texture Atlas Mapping
# Auflösung (px): 16
# Spalten: 20  Zeilen: 13
# Format: ID	Name	Col	Row
  0	keyboard	0	0
  1	keyboard_0	1	0
  2	keyboard_0_outline	2	0
  3	keyboard_1	3	0
  4	keyboard_1_outline	4	0
  5	keyboard_2	5	0
  6	keyboard_2_outline	6	0
  7	keyboard_3	7	0
  8	keyboard_3_outline	8	0
  9	keyboard_4	9	0
 10	keyboard_4_outline	10	0
 11	keyboard_5	11	0
 12	keyboard_5_outline	12	0
 13	keyboard_6	13	0
 14	keyboard_6_outline	14	0
 15	keyboard_7	15	0
 16	keyboard_7_outline	16	0
 17	keyboard_8	17	0
 18	keyboard_8_outline	18	0
 19	keyboard_9	19	0
 20	keyboard_9_outline	0	1
 21	keyboard_a	1	1
 22	keyboard_a_outline	2	1
 23	keyboard_alt	3	1
 24	keyboard_alt_outline	4	1
 25	keyboard_any	5	1
 26	keyboard_any_outline	6	1
 27	keyboard_apostrophe	7	1
 28	keyboard_apostrophe_outline	8	1
 29	keyboard_arrow_down	9	1
 30	keyboard_arrow_down_outline	10	1
 31	keyboard_arrow_left	11	1
 32	keyboard_arrow_left_outline	12	1
 33	keyboard_arrow_right	13	1
 34	keyboard_arrow_right_outline	14	1
 35	keyboard_arrow_up	15	1
 36	keyboard_arrow_up_outline	16	1
 37	keyboard_arrows	17	1
 38	keyboard_arrows_all	18	1
 39	keyboard_arrows_down	19	1
 40	keyboard_arrows_down_outline	0	2
 41	keyboard_arrows_horizontal	1	2
 42	keyboard_arrows_horizontal_outline	2	2
 43	keyboard_arrows_left	3	2
 44	keyboard_arrows_left_outline	4	2
 45	keyboard_arrows_none	5	2
 46	keyboard_arrows_right	6	2
 47	keyboard_arrows_right_outline	7	2
 48	keyboard_arrows_up	8	2
 49	keyboard_arrows_up_outline	9	2
 50	keyboard_arrows_vertical	10	2
 51	keyboard_arrows_vertical_outline	11	2
 52	keyboard_asterisk	12	2
 53	keyboard_asterisk_outline	13	2
 54	keyboard_b	14	2
 55	keyboard_b_outline	15	2
 56	keyboard_backspace	16	2
 57	keyboard_backspace_icon	17	2
 58	keyboard_backspace_icon_alternative	18	2
 59	keyboard_backspace_icon_alternative_outline	19	2
 60	keyboard_backspace_icon_outline	0	3
 61	keyboard_backspace_outline	1	3
 62	keyboard_bracket_close	2	3
 63	keyboard_bracket_close_outline	3	3
 64	keyboard_bracket_greater	4	3
 65	keyboard_bracket_greater_outline	5	3
 66	keyboard_bracket_less	6	3
 67	keyboard_bracket_less_outline	7	3
 68	keyboard_bracket_open	8	3
 69	keyboard_bracket_open_outline	9	3
 70	keyboard_c	10	3
 71	keyboard_c_outline	11	3
 72	keyboard_capslock	12	3
 73	keyboard_capslock_icon	13	3
 74	keyboard_capslock_icon_outline	14	3
 75	keyboard_capslock_outline	15	3
 76	keyboard_caret	16	3
 77	keyboard_caret_outline	17	3
 78	keyboard_colon	18	3
 79	keyboard_colon_outline	19	3
 80	keyboard_comma	0	4
 81	keyboard_comma_outline	1	4
 82	keyboard_command	2	4
 83	keyboard_command_outline	3	4
 84	keyboard_ctrl	4	4
 85	keyboard_ctrl_outline	5	4
 86	keyboard_d	6	4
 87	keyboard_d_outline	7	4
 88	keyboard_delete	8	4
 89	keyboard_delete_outline	9	4
 90	keyboard_e	10	4
 91	keyboard_e_outline	11	4
 92	keyboard_end	12	4
 93	keyboard_end_outline	13	4
 94	keyboard_enter	14	4
 95	keyboard_enter_outline	15	4
 96	keyboard_equals	16	4
 97	keyboard_equals_outline	17	4
 98	keyboard_escape	18	4
 99	keyboard_escape_outline	19	4
100	keyboard_exclamation	0	5
101	keyboard_exclamation_outline	1	5
102	keyboard_f	2	5
103	keyboard_f1	3	5
104	keyboard_f10	4	5
105	keyboard_f10_outline	5	5
106	keyboard_f11	6	5
107	keyboard_f11_outline	7	5
108	keyboard_f12	8	5
109	keyboard_f12_outline	9	5
110	keyboard_f1_outline	10	5
111	keyboard_f2	11	5
112	keyboard_f2_outline	12	5
113	keyboard_f3	13	5
114	keyboard_f3_outline	14	5
115	keyboard_f4	15	5
116	keyboard_f4_outline	16	5
117	keyboard_f5	17	5
118	keyboard_f5_outline	18	5
119	keyboard_f6	19	5
120	keyboard_f6_outline	0	6
121	keyboard_f7	1	6
122	keyboard_f7_outline	2	6
123	keyboard_f8	3	6
124	keyboard_f8_outline	4	6
125	keyboard_f9	5	6
126	keyboard_f9_outline	6	6
127	keyboard_f_outline	7	6
128	keyboard_function	8	6
129	keyboard_function_outline	9	6
130	keyboard_g	10	6
131	keyboard_g_outline	11	6
132	keyboard_h	12	6
133	keyboard_h_outline	13	6
134	keyboard_home	14	6
135	keyboard_home_outline	15	6
136	keyboard_i	16	6
137	keyboard_i_outline	17	6
138	keyboard_insert	18	6
139	keyboard_insert_outline	19	6
140	keyboard_j	0	7
141	keyboard_j_outline	1	7
142	keyboard_k	2	7
143	keyboard_k_outline	3	7
144	keyboard_l	4	7
145	keyboard_l_outline	5	7
146	keyboard_m	6	7
147	keyboard_m_outline	7	7
148	keyboard_minus	8	7
149	keyboard_minus_outline	9	7
150	keyboard_n	10	7
151	keyboard_n_outline	11	7
152	keyboard_numlock	12	7
153	keyboard_numlock_outline	13	7
154	keyboard_numpad_enter	14	7
155	keyboard_numpad_enter_outline	15	7
156	keyboard_numpad_plus	16	7
157	keyboard_numpad_plus_outline	17	7
158	keyboard_o	18	7
159	keyboard_o_outline	19	7
160	keyboard_option	0	8
161	keyboard_option_outline	1	8
162	keyboard_outline	2	8
163	keyboard_p	3	8
164	keyboard_p_outline	4	8
165	keyboard_page_down	5	8
166	keyboard_page_down_outline	6	8
167	keyboard_page_up	7	8
168	keyboard_page_up_outline	8	8
169	keyboard_period	9	8
170	keyboard_period_outline	10	8
171	keyboard_plus	11	8
172	keyboard_plus_outline	12	8
173	keyboard_printscreen	13	8
174	keyboard_printscreen_outline	14	8
175	keyboard_q	15	8
176	keyboard_q_outline	16	8
177	keyboard_question	17	8
178	keyboard_question_outline	18	8
179	keyboard_quote	19	8
180	keyboard_quote_outline	0	9
181	keyboard_r	1	9
182	keyboard_r_outline	2	9
183	keyboard_return	3	9
184	keyboard_return_outline	4	9
185	keyboard_s	5	9
186	keyboard_s_outline	6	9
187	keyboard_semicolon	7	9
188	keyboard_semicolon_outline	8	9
189	keyboard_shift	9	9
190	keyboard_shift_icon	10	9
191	keyboard_shift_icon_outline	11	9
192	keyboard_shift_outline	12	9
193	keyboard_slash_back	13	9
194	keyboard_slash_back_outline	14	9
195	keyboard_slash_forward	15	9
196	keyboard_slash_forward_outline	16	9
197	keyboard_space	17	9
198	keyboard_space_icon	18	9
199	keyboard_space_icon_outline	19	9
200	keyboard_space_outline	0	10
201	keyboard_t	1	10
202	keyboard_t_outline	2	10
203	keyboard_tab	3	10
204	keyboard_tab_icon	4	10
205	keyboard_tab_icon_alternative	5	10
206	keyboard_tab_icon_alternative_outline	6	10
207	keyboard_tab_icon_outline	7	10
208	keyboard_tab_outline	8	10
209	keyboard_tilde	9	10
210	keyboard_tilde_outline	10	10
211	keyboard_u	11	10
212	keyboard_u_outline	12	10
213	keyboard_v	13	10
214	keyboard_v_outline	14	10
215	keyboard_w	15	10
216	keyboard_w_outline	16	10
217	keyboard_win	17	10
218	keyboard_win_outline	18	10
219	keyboard_x	19	10
220	keyboard_x_outline	0	11
221	keyboard_y	1	11
222	keyboard_y_outline	2	11
223	keyboard_z	3	11
224	keyboard_z_outline	4	11
225	mouse	5	11
226	mouse_horizontal	6	11
227	mouse_left	7	11
228	mouse_left_outline	8	11
229	mouse_move	9	11
230	mouse_outline	10	11
231	mouse_right	11	11
232	mouse_right_outline	12	11
233	mouse_scroll	13	11
234	mouse_scroll_down	14	11
235	mouse_scroll_down_outline	15	11
236	mouse_scroll_outline	16	11
237	mouse_scroll_up	17	11
238	mouse_scroll_up_outline	18	11
239	mouse_scroll_vertical	19	11
240	mouse_scroll_vertical_outline	0	12
241	mouse_small	1	12
242	mouse_vertical	2	12
