# Texture Atlas Mapping
# Auflösung (px): 24
# Spalten: 20  Zeilen: 6
# Format: ID	Name	Col	Row
  0	controller_switch	0	0
  1	controller_switch_joycon_down	1	0
  2	controller_switch_joycon_up	2	0
  3	controller_switch_pro	3	0
  4	switch_button_a	4	0
  5	switch_button_a_outline	5	0
  6	switch_button_b	6	0
  7	switch_button_b_outline	7	0
  8	switch_button_home	8	0
  9	switch_button_home_outline	9	0
 10	switch_button_l	10	0
 11	switch_button_l_outline	11	0
 12	switch_button_minus	12	0
 13	switch_button_minus_outline	13	0
 14	switch_button_plus	14	0
 15	switch_button_plus_outline	15	0
 16	switch_button_r	16	0
 17	switch_button_r_outline	17	0
 18	switch_button_sl	18	0
 19	switch_button_sl_outline	19	0
 20	switch_button_sr	0	1
 21	switch_button_sr_outline	1	1
 22	switch_button_sync	2	1
 23	switch_button_sync_outline	3	1
 24	switch_button_x	4	1
 25	switch_button_x_outline	5	1
 26	switch_button_y	6	1
 27	switch_button_y_outline	7	1
 28	switch_button_zl	8	1
 29	switch_button_zl_outline	9	1
 30	switch_button_zr	10	1
 31	switch_button_zr_outline	11	1
 32	switch_buttons	12	1
 33	switch_buttons_all	13	1
 34	switch_buttons_down	14	1
 35	switch_buttons_down_outline	15	1
 36	switch_buttons_horizontal	16	1
 37	switch_buttons_horizontal_outline	17	1
 38	switch_buttons_left	18	1
 39	switch_buttons_left_outline	19	1
 40	switch_buttons_none	0	2
 41	switch_buttons_right	1	2
 42	switch_buttons_right_outline	2	2
 43	switch_buttons_up	3	2
 44	switch_buttons_up_outline	4	2
 45	switch_buttons_vertical	5	2
 46	switch_buttons_vertical_outline	6	2
 47	switch_down	7	2
 48	switch_down_outline	8	2
 49	switch_dpad	9	2
 50	switch_dpad_all	10	2
 51	switch_dpad_down	11	2
 52	switch_dpad_down_outline	12	2
 53	switch_dpad_horizontal	13	2
 54	switch_dpad_horizontal_outline	14	2
 55	switch_dpad_left	15	2
 56	switch_dpad_left_outline	16	2
 57	switch_dpad_none	17	2
 58	switch_dpad_right	18	2
 59	switch_dpad_right_outline	19	2
 60	switch_dpad_up	0	3
 61	switch_dpad_up_outline	1	3
 62	switch_dpad_vertical	2	3
 63	switch_dpad_vertical_outline	3	3
 64	switch_joycon	4	3
 65	switch_joycon_left	5	3
 66	switch_joycon_left_diagonal	6	3
 67	switch_joycon_left_diagonal_outline	7	3
 68	switch_joycon_left_horizontal	8	3
 69	switch_joycon_left_horizontal_outline	9	3
 70	switch_joycon_left_outline	10	3
 71	switch_joycon_left_rotate	11	3
 72	switch_joycon_left_rotate_outline	12	3
 73	switch_joycon_left_vertical	13	3
 74	switch_joycon_left_vertical_outline	14	3
 75	switch_joycon_outline	15	3
 76	switch_joycon_right	16	3
 77	switch_joycon_right_diagonal	17	3
 78	switch_joycon_right_diagonal_outline	18	3
 79	switch_joycon_right_horizontal	19	3
 80	switch_joycon_right_horizontal_outline	0	4
 81	switch_joycon_right_outline	1	4
 82	switch_joycon_right_rotate	2	4
 83	switch_joycon_right_rotate_outline	3	4
 84	switch_joycon_right_vertical	4	4
 85	switch_joycon_right_vertical_outline	5	4
 86	switch_left	6	4
 87	switch_left_outline	7	4
 88	switch_right	8	4
 89	switch_right_outline	9	4
 90	switch_stick_l	10	4
 91	switch_stick_l_down	11	4
 92	switch_stick_l_horizontal	12	4
 93	switch_stick_l_left	13	4
 94	switch_stick_l_press	14	4
 95	switch_stick_l_right	15	4
 96	switch_stick_l_up	16	4
 97	switch_stick_l_vertical	17	4
 98	switch_stick_r	18	4
 99	switch_stick_r_down	19	4
100	switch_stick_r_horizontal	0	5
101	switch_stick_r_left	1	5
102	switch_stick_r_press	2	5
103	switch_stick_r_right	3	5
104	switch_stick_r_up	4	5
105	switch_stick_r_vertical	5	5
106	switch_stick_side_l	6	5
107	switch_stick_side_r	7	5
108	switch_stick_top_l	8	5
109	switch_stick_top_r	9	5
110	switch_up	10	5
111	switch_up_outline	11	5
