# Texture Atlas Mapping
# Auflösung (px): 16
# Spalten: 20  Zeilen: 5
# Format: ID	Name	Col	Row
  0	controller_wii_classic	0	0
  1	controller_wii_classic_pro	1	0
  2	wii_button_1	2	0
  3	wii_button_1_outline	3	0
  4	wii_button_2	4	0
  5	wii_button_2_outline	5	0
  6	wii_button_a	6	0
  7	wii_button_a_outline	7	0
  8	wii_button_b	8	0
  9	wii_button_b_outline	9	0
 10	wii_button_c	10	0
 11	wii_button_c_outline	11	0
 12	wii_button_home	12	0
 13	wii_button_home_outline	13	0
 14	wii_button_l	14	0
 15	wii_button_l_outline	15	0
 16	wii_button_minus	16	0
 17	wii_button_minus_outline	17	0
 18	wii_button_plus	18	0
 19	wii_button_plus_outline	19	0
 20	wii_button_power	0	1
 21	wii_button_power_outline	1	1
 22	wii_button_r	2	1
 23	wii_button_r_outline	3	1
 24	wii_button_x	4	1
 25	wii_button_x_outline	5	1
 26	wii_button_y	6	1
 27	wii_button_y_outline	7	1
 28	wii_button_z	8	1
 29	wii_button_z_outline	9	1
 30	wii_button_zl	10	1
 31	wii_button_zl_outline	11	1
 32	wii_button_zr	12	1
 33	wii_button_zr_outline	13	1
 34	wii_controller	14	1
 35	wii_controller_diagonal	15	1
 36	wii_controller_diagonal_outline	16	1
 37	wii_controller_horizontal	17	1
 38	wii_controller_horizontal_outline	18	1
 39	wii_controller_nunchuk	19	1
 40	wii_controller_nunchuk_wire	0	2
 41	wii_controller_outline	1	2
 42	wii_controller_rotate	2	2
 43	wii_controller_rotate_outline	3	2
 44	wii_controller_vertical	4	2
 45	wii_controller_vertical_outline	5	2
 46	wii_dpad	6	2
 47	wii_dpad_all	7	2
 48	wii_dpad_down	8	2
 49	wii_dpad_down_outline	9	2
 50	wii_dpad_horizontal	10	2
 51	wii_dpad_horizontal_outline	11	2
 52	wii_dpad_left	12	2
 53	wii_dpad_left_outline	13	2
 54	wii_dpad_none	14	2
 55	wii_dpad_right	15	2
 56	wii_dpad_right_outline	16	2
 57	wii_dpad_up	17	2
 58	wii_dpad_up_outline	18	2
 59	wii_dpad_vertical	19	2
 60	wii_dpad_vertical_outline	0	3
 61	wii_stick	1	3
 62	wii_stick_down	2	3
 63	wii_stick_horizontal	3	3
 64	wii_stick_l	4	3
 65	wii_stick_l_down	5	3
 66	wii_stick_l_horizontal	6	3
 67	wii_stick_l_left	7	3
 68	wii_stick_l_right	8	3
 69	wii_stick_l_up	9	3
 70	wii_stick_l_vertical	10	3
 71	wii_stick_left	11	3
 72	wii_stick_r	12	3
 73	wii_stick_r_down	13	3
 74	wii_stick_r_horizontal	14	3
 75	wii_stick_r_left	15	3
 76	wii_stick_r_right	16	3
 77	wii_stick_r_up	17	3
 78	wii_stick_r_vertical	18	3
 79	wii_stick_right	19	3
 80	wii_stick_top_l	0	4
 81	wii_stick_top_r	1	4
 82	wii_stick_up	2	4
 83	wii_stick_vertical	3	4
