# Texture Atlas Mapping
# Auflösung (px): 32
# Spalten: 20  Zeilen: 4
# Format: ID	Name	Col	Row
  0	gamecube_button_a	0	0
  1	gamecube_button_a_outline	1	0
  2	gamecube_button_b	2	0
  3	gamecube_button_b_outline	3	0
  4	gamecube_button_color_a	4	0
  5	gamecube_button_color_a_outline	5	0
  6	gamecube_button_color_b	6	0
  7	gamecube_button_color_b_outline	7	0
  8	gamecube_button_start	8	0
  9	gamecube_button_start_outline	9	0
 10	gamecube_button_x	10	0
 11	gamecube_button_x_outline	11	0
 12	gamecube_button_x_tilted	12	0
 13	gamecube_button_x_tilted_outline	13	0
 14	gamecube_button_y	14	0
 15	gamecube_button_y_outline	15	0
 16	gamecube_button_y_tilted	16	0
 17	gamecube_button_y_tilted_outline	17	0
 18	gamecube_button_z	18	0
 19	gamecube_button_z_outline	19	0
 20	gamecube_controller	0	1
 21	gamecube_controller_wavebird	1	1
 22	gamecube_dpad	2	1
 23	gamecube_dpad_all	3	1
 24	gamecube_dpad_down	4	1
 25	gamecube_dpad_down_outline	5	1
 26	gamecube_dpad_horizontal	6	1
 27	gamecube_dpad_horizontal_outline	7	1
 28	gamecube_dpad_left	8	1
 29	gamecube_dpad_left_outline	9	1
 30	gamecube_dpad_none	10	1
 31	gamecube_dpad_right	11	1
 32	gamecube_dpad_right_outline	12	1
 33	gamecube_dpad_up	13	1
 34	gamecube_dpad_up_outline	14	1
 35	gamecube_dpad_vertical	15	1
 36	gamecube_dpad_vertical_outline	16	1
 37	gamecube_stick	17	1
 38	gamecube_stick_c	18	1
 39	gamecube_stick_c_color_down	19	1
 40	gamecube_stick_c_color_horizontal	0	2
 41	gamecube_stick_c_color_left	1	2
 42	gamecube_stick_c_color_right	2	2
 43	gamecube_stick_c_color_top	3	2
 44	gamecube_stick_c_color_up	4	2
 45	gamecube_stick_c_color_vertical	5	2
 46	gamecube_stick_c_down	6	2
 47	gamecube_stick_c_horizontal	7	2
 48	gamecube_stick_c_left	8	2
 49	gamecube_stick_c_right	9	2
 50	gamecube_stick_c_top	10	2
 51	gamecube_stick_c_up	11	2
 52	gamecube_stick_c_vertical	12	2
 53	gamecube_stick_color_c	13	2
 54	gamecube_stick_down	14	2
 55	gamecube_stick_grip	15	2
 56	gamecube_stick_grip_down	16	2
 57	gamecube_stick_grip_horizontal	17	2
 58	gamecube_stick_grip_left	18	2
 59	gamecube_stick_grip_right	19	2
 60	gamecube_stick_grip_top	0	3
 61	gamecube_stick_grip_up	1	3
 62	gamecube_stick_grip_vertical	2	3
 63	gamecube_stick_horizontal	3	3
 64	gamecube_stick_left	4	3
 65	gamecube_stick_right	5	3
 66	gamecube_stick_top	6	3
 67	gamecube_stick_up	7	3
 68	gamecube_stick_vertical	8	3
 69	gamecube_trigger_l	9	3
 70	gamecube_trigger_l_outline	10	3
 71	gamecube_trigger_r	11	3
 72	gamecube_trigger_r_outline	12	3
