# Texture Atlas Mapping
# Auflösung (px): 24
# Spalten: 20  Zeilen: 4
# Format: ID	Name	Col	Row
  0	controller_wiiu_pro	0	0
  1	wiiu_button_1	1	0
  2	wiiu_button_1_outline	2	0
  3	wiiu_button_2	3	0
  4	wiiu_button_2_outline	4	0
  5	wiiu_button_a	5	0
  6	wiiu_button_a_outline	6	0
  7	wiiu_button_b	7	0
  8	wiiu_button_b_outline	8	0
  9	wiiu_button_home	9	0
 10	wiiu_button_home_outline	10	0
 11	wiiu_button_l	11	0
 12	wiiu_button_l_outline	12	0
 13	wiiu_button_minus	13	0
 14	wiiu_button_minus_outline	14	0
 15	wiiu_button_plus	15	0
 16	wiiu_button_plus_outline	16	0
 17	wiiu_button_power	17	0
 18	wiiu_button_power_outline	18	0
 19	wiiu_button_r	19	0
 20	wiiu_button_r_outline	0	1
 21	wiiu_button_tv	1	1
 22	wiiu_button_tv_outline	2	1
 23	wiiu_button_x	3	1
 24	wiiu_button_x_outline	4	1
 25	wiiu_button_y	5	1
 26	wiiu_button_y_outline	6	1
 27	wiiu_button_zl	7	1
 28	wiiu_button_zl_outline	8	1
 29	wiiu_button_zr	9	1
 30	wiiu_button_zr_outline	10	1
 31	wiiu_controller	11	1
 32	wiiu_controller_down	12	1
 33	wiiu_controller_down_outline	13	1
 34	wiiu_controller_outline	14	1
 35	wiiu_controller_up	15	1
 36	wiiu_controller_up_outlnie	16	1
 37	wiiu_dpad	17	1
 38	wiiu_dpad_all	18	1
 39	wiiu_dpad_down	19	1
 40	wiiu_dpad_down_outline	0	2
 41	wiiu_dpad_horizontal	1	2
 42	wiiu_dpad_horizontal_outline	2	2
 43	wiiu_dpad_left	3	2
 44	wiiu_dpad_left_outline	4	2
 45	wiiu_dpad_none	5	2
 46	wiiu_dpad_right	6	2
 47	wiiu_dpad_right_outline	7	2
 48	wiiu_dpad_up	8	2
 49	wiiu_dpad_up_outline	9	2
 50	wiiu_dpad_vertical	10	2
 51	wiiu_dpad_vertical_outline	11	2
 52	wiiu_stick_l	12	2
 53	wiiu_stick_l_down	13	2
 54	wiiu_stick_l_horizontal	14	2
 55	wiiu_stick_l_left	15	2
 56	wiiu_stick_l_right	16	2
 57	wiiu_stick_l_up	17	2
 58	wiiu_stick_l_vertical	18	2
 59	wiiu_stick_r	19	2
 60	wiiu_stick_r_down	0	3
 61	wiiu_stick_r_horizontal	1	3
 62	wiiu_stick_r_left	2	3
 63	wiiu_stick_r_right	3	3
 64	wiiu_stick_r_up	4	3
 65	wiiu_stick_r_vertical	5	3
 66	wiiu_stick_top_l	6	3
 67	wiiu_stick_top_r	7	3
