# Texture Atlas Mapping
# Auflösung (px): 32
# Spalten: 20  Zeilen: 4
# Format: ID	Name	Col	Row
  0	controller_steam	0	0
  1	steam_button_a	1	0
  2	steam_button_a_outline	2	0
  3	steam_button_b	3	0
  4	steam_button_b_outline	4	0
  5	steam_button_back_icon	5	0
  6	steam_button_back_icon_outline	6	0
  7	steam_button_color_a	7	0
  8	steam_button_color_a_outline	8	0
  9	steam_button_color_b	9	0
 10	steam_button_color_b_outline	10	0
 11	steam_button_color_x	11	0
 12	steam_button_color_x_outline	12	0
 13	steam_button_color_y	13	0
 14	steam_button_color_y_outline	14	0
 15	steam_button_lp	15	0
 16	steam_button_lp_outline	16	0
 17	steam_button_rp	17	0
 18	steam_button_rp_outline	18	0
 19	steam_button_start_icon	19	0
 20	steam_button_start_icon_outline	0	1
 21	steam_button_x	1	1
 22	steam_button_x_outline	2	1
 23	steam_button_y	3	1
 24	steam_button_y_outline	4	1
 25	steam_dpad	5	1
 26	steam_dpad_all	6	1
 27	steam_dpad_down	7	1
 28	steam_dpad_down_outline	8	1
 29	steam_dpad_horizontal	9	1
 30	steam_dpad_horizontal_outline	10	1
 31	steam_dpad_left	11	1
 32	steam_dpad_left_outline	12	1
 33	steam_dpad_none	13	1
 34	steam_dpad_right	14	1
 35	steam_dpad_right_outline	15	1
 36	steam_dpad_up	16	1
 37	steam_dpad_up_outline	17	1
 38	steam_dpad_vertical	18	1
 39	steam_dpad_vertical_outline	19	1
 40	steam_lb	0	2
 41	steam_lb_outline	1	2
 42	steam_lg	2	2
 43	steam_lg_outline	3	2
 44	steam_lt	4	2
 45	steam_lt_outline	5	2
 46	steam_pad	6	2
 47	steam_pad_center	7	2
 48	steam_pad_down	8	2
 49	steam_pad_left	9	2
 50	steam_pad_right	10	2
 51	steam_pad_up	11	2
 52	steam_rb	12	2
 53	steam_rb_outline	13	2
 54	steam_rg	14	2
 55	steam_rg_outline	15	2
 56	steam_rt	16	2
 57	steam_rt_outline	17	2
 58	steam_stick	18	2
 59	steam_stick_down	19	2
 60	steam_stick_horizontal	0	3
 61	steam_stick_l_press	1	3
 62	steam_stick_left	2	3
 63	steam_stick_right	3	3
 64	steam_stick_side_l	4	3
 65	steam_stick_up	5	3
 66	steam_stick_vertical	6	3
