# Texture Atlas Mapping
# Auflösung (px): 16
# Spalten: 20  Zeilen: 6
# Format: ID	Name	Col	Row
  0	controller_steamdeck	0	0
  1	steamdeck_button_a	1	0
  2	steamdeck_button_a_outline	2	0
  3	steamdeck_button_b	3	0
  4	steamdeck_button_b_outline	4	0
  5	steamdeck_button_guide	5	0
  6	steamdeck_button_guide_outline	6	0
  7	steamdeck_button_l1	7	0
  8	steamdeck_button_l1_outline	8	0
  9	steamdeck_button_l2	9	0
 10	steamdeck_button_l2_outline	10	0
 11	steamdeck_button_l4	11	0
 12	steamdeck_button_l4_outline	12	0
 13	steamdeck_button_l5	13	0
 14	steamdeck_button_l5_outline	14	0
 15	steamdeck_button_options	15	0
 16	steamdeck_button_options_outline	16	0
 17	steamdeck_button_quickaccess	17	0
 18	steamdeck_button_quickaccess_outline	18	0
 19	steamdeck_button_r1	19	0
 20	steamdeck_button_r1_outline	0	1
 21	steamdeck_button_r2	1	1
 22	steamdeck_button_r2_outline	2	1
 23	steamdeck_button_r4	3	1
 24	steamdeck_button_r4_outline	4	1
 25	steamdeck_button_r5	5	1
 26	steamdeck_button_r5_outline	6	1
 27	steamdeck_button_view	7	1
 28	steamdeck_button_view_outline	8	1
 29	steamdeck_button_x	9	1
 30	steamdeck_button_x_outline	10	1
 31	steamdeck_button_y	11	1
 32	steamdeck_button_y_outline	12	1
 33	steamdeck_dpad	13	1
 34	steamdeck_dpad_all	14	1
 35	steamdeck_dpad_down	15	1
 36	steamdeck_dpad_down_outline	16	1
 37	steamdeck_dpad_horizontal	17	1
 38	steamdeck_dpad_horizontal_outline	18	1
 39	steamdeck_dpad_left	19	1
 40	steamdeck_dpad_left_outline	0	2
 41	steamdeck_dpad_none	1	2
 42	steamdeck_dpad_right	2	2
 43	steamdeck_dpad_right_outline	3	2
 44	steamdeck_dpad_up	4	2
 45	steamdeck_dpad_up_outline	5	2
 46	steamdeck_dpad_vertical	6	2
 47	steamdeck_dpad_vertical_outline	7	2
 48	steamdeck_stick_l	8	2
 49	steamdeck_stick_l_down	9	2
 50	steamdeck_stick_l_horizontal	10	2
 51	steamdeck_stick_l_left	11	2
 52	steamdeck_stick_l_press	12	2
 53	steamdeck_stick_l_right	13	2
 54	steamdeck_stick_l_up	14	2
 55	steamdeck_stick_l_vertical	15	2
 56	steamdeck_stick_r	16	2
 57	steamdeck_stick_r_down	17	2
 58	steamdeck_stick_r_horizontal	18	2
 59	steamdeck_stick_r_left	19	2
 60	steamdeck_stick_r_press	0	3
 61	steamdeck_stick_r_right	1	3
 62	steamdeck_stick_r_up	2	3
 63	steamdeck_stick_r_vertical	3	3
 64	steamdeck_stick_side_l	4	3
 65	steamdeck_stick_side_r	5	3
 66	steamdeck_stick_top_l	6	3
 67	steamdeck_stick_top_r	7	3
 68	steamdeck_trackpad	8	3
 69	steamdeck_trackpad_all	9	3
 70	steamdeck_trackpad_all_outline	10	3
 71	steamdeck_trackpad_down	11	3
 72	steamdeck_trackpad_down_outline	12	3
 73	steamdeck_trackpad_horizontal	13	3
 74	steamdeck_trackpad_horizontal_outline	14	3
 75	steamdeck_trackpad_l	15	3
 76	steamdeck_trackpad_l_all	16	3
 77	steamdeck_trackpad_l_all_outline	17	3
 78	steamdeck_trackpad_l_down	18	3
 79	steamdeck_trackpad_l_down_outline	19	3
 80	steamdeck_trackpad_l_horizontal	0	4
 81	steamdeck_trackpad_l_horizontal_outline	1	4
 82	steamdeck_trackpad_l_left	2	4
 83	steamdeck_trackpad_l_left_outline	3	4
 84	steamdeck_trackpad_l_outline	4	4
 85	steamdeck_trackpad_l_right	5	4
 86	steamdeck_trackpad_l_right_outline	6	4
 87	steamdeck_trackpad_l_up	7	4
 88	steamdeck_trackpad_l_up_outline	8	4
 89	steamdeck_trackpad_l_vertical	9	4
 90	steamdeck_trackpad_l_vertical_outline	10	4
 91	steamdeck_trackpad_left	11	4
 92	steamdeck_trackpad_left_outline	12	4
 93	steamdeck_trackpad_outline	13	4
 94	steamdeck_trackpad_r	14	4
 95	steamdeck_trackpad_r_all	15	4
 96	steamdeck_trackpad_r_all_outline	16	4
 97	steamdeck_trackpad_r_down	17	4
 98	steamdeck_trackpad_r_down_outline	18	4
 99	steamdeck_trackpad_r_horizontal	19	4
100	steamdeck_trackpad_r_horizontal_outline	0	5
101	steamdeck_trackpad_r_left	1	5
102	steamdeck_trackpad_r_left_outline	2	5
103	steamdeck_trackpad_r_outline	3	5
104	steamdeck_trackpad_r_right	4	5
105	steamdeck_trackpad_r_right_outline	5	5
106	steamdeck_trackpad_r_up	6	5
107	steamdeck_trackpad_r_up_outline	7	5
108	steamdeck_trackpad_r_vertical	8	5
109	steamdeck_trackpad_r_vertical_outline	9	5
110	steamdeck_trackpad_right	10	5
111	steamdeck_trackpad_right_outline	11	5
112	steamdeck_trackpad_up	12	5
113	steamdeck_trackpad_up_outline	13	5
114	steamdeck_trackpad_vertical	14	5
115	steamdeck_trackpad_vertical_outline	15	5
