# Texture Atlas Mapping
# Auflösung (px): 32
# Spalten: 20  Zeilen: 5
# Format: ID	Name	Col	Row
  0	controller_xbox360	0	0
  1	controller_xbox_adaptive	1	0
  2	controller_xboxone	2	0
  3	controller_xboxseries	3	0
  4	xbox_button_a	4	0
  5	xbox_button_a_outline	5	0
  6	xbox_button_b	6	0
  7	xbox_button_b_outline	7	0
  8	xbox_button_back	8	0
  9	xbox_button_back_icon	9	0
 10	xbox_button_back_icon_outline	10	0
 11	xbox_button_back_outline	11	0
 12	xbox_button_color_a	12	0
 13	xbox_button_color_a_outline	13	0
 14	xbox_button_color_b	14	0
 15	xbox_button_color_b_outline	15	0
 16	xbox_button_color_x	16	0
 17	xbox_button_color_x_outline	17	0
 18	xbox_button_color_y	18	0
 19	xbox_button_color_y_outline	19	0
 20	xbox_button_menu	0	1
 21	xbox_button_menu_outline	1	1
 22	xbox_button_share	2	1
 23	xbox_button_share_outline	3	1
 24	xbox_button_start	4	1
 25	xbox_button_start_icon	5	1
 26	xbox_button_start_icon_outline	6	1
 27	xbox_button_start_outline	7	1
 28	xbox_button_view	8	1
 29	xbox_button_view_outline	9	1
 30	xbox_button_x	10	1
 31	xbox_button_x_outline	11	1
 32	xbox_button_y	12	1
 33	xbox_button_y_outline	13	1
 34	xbox_dpad	14	1
 35	xbox_dpad_all	15	1
 36	xbox_dpad_down	16	1
 37	xbox_dpad_down_outline	17	1
 38	xbox_dpad_horizontal	18	1
 39	xbox_dpad_horizontal_outline	19	1
 40	xbox_dpad_left	0	2
 41	xbox_dpad_left_outline	1	2
 42	xbox_dpad_none	2	2
 43	xbox_dpad_right	3	2
 44	xbox_dpad_right_outline	4	2
 45	xbox_dpad_round	5	2
 46	xbox_dpad_round_all	6	2
 47	xbox_dpad_round_down	7	2
 48	xbox_dpad_round_horizontal	8	2
 49	xbox_dpad_round_left	9	2
 50	xbox_dpad_round_right	10	2
 51	xbox_dpad_round_up	11	2
 52	xbox_dpad_round_vertical	12	2
 53	xbox_dpad_up	13	2
 54	xbox_dpad_up_outline	14	2
 55	xbox_dpad_vertical	15	2
 56	xbox_dpad_vertical_outline	16	2
 57	xbox_elite_paddle_bottom_left	17	2
 58	xbox_elite_paddle_bottom_left_outline	18	2
 59	xbox_elite_paddle_bottom_right	19	2
 60	xbox_elite_paddle_bottom_right_outline	0	3
 61	xbox_elite_paddle_top_left	1	3
 62	xbox_elite_paddle_top_left_outline	2	3
 63	xbox_elite_paddle_top_right	3	3
 64	xbox_elite_paddle_top_right_outline	4	3
 65	xbox_guide	5	3
 66	xbox_guide_outline	6	3
 67	xbox_lb	7	3
 68	xbox_lb_outline	8	3
 69	xbox_ls	9	3
 70	xbox_ls_outline	10	3
 71	xbox_lt	11	3
 72	xbox_lt_outline	12	3
 73	xbox_rb	13	3
 74	xbox_rb_outline	14	3
 75	xbox_rs	15	3
 76	xbox_rs_outline	16	3
 77	xbox_rt	17	3
 78	xbox_rt_outline	18	3
 79	xbox_stick_l	19	3
 80	xbox_stick_l_down	0	4
 81	xbox_stick_l_horizontal	1	4
 82	xbox_stick_l_left	2	4
 83	xbox_stick_l_press	3	4
 84	xbox_stick_l_right	4	4
 85	xbox_stick_l_up	5	4
 86	xbox_stick_l_vertical	6	4
 87	xbox_stick_r	7	4
 88	xbox_stick_r_down	8	4
 89	xbox_stick_r_horizontal	9	4
 90	xbox_stick_r_left	10	4
 91	xbox_stick_r_press	11	4
 92	xbox_stick_r_right	12	4
 93	xbox_stick_r_up	13	4
 94	xbox_stick_r_vertical	14	4
 95	xbox_stick_side_l	15	4
 96	xbox_stick_side_r	16	4
 97	xbox_stick_top_l	17	4
 98	xbox_stick_top_r	18	4
