# Texture Atlas Mapping
# Auflösung (px): 24
# Spalten: 20  Zeilen: 16
# Format: ID	Name	Col	Row
  0	accessibility	0	0
  1	activity-log	1	0
  2	align-baseline	2	0
  3	align-bottom	3	0
  4	align-center-horizontally	4	0
  5	align-center-vertically	5	0
  6	align-left	6	0
  7	align-right	7	0
  8	align-top	8	0
  9	all-sides	9	0
 10	angle	10	0
 11	archive	11	0
 12	arrow-bottom-left	12	0
 13	arrow-bottom-right	13	0
 14	arrow-down	14	0
 15	arrow-left	15	0
 16	arrow-right	16	0
 17	arrow-top-left	17	0
 18	arrow-top-right	18	0
 19	arrow-up	19	0
 20	aspect-ratio	0	1
 21	avatar	1	1
 22	backpack	2	1
 23	badge	3	1
 24	bar-chart	4	1
 25	bell	5	1
 26	blending-mode	6	1
 27	bookmark-filled	7	1
 28	bookmark	8	1
 29	border-all	9	1
 30	border-bottom	10	1
 31	border-dashed	11	1
 32	border-dotted	12	1
 33	border-left	13	1
 34	border-none	14	1
 35	border-right	15	1
 36	border-solid	16	1
 37	border-split	17	1
 38	border-style	18	1
 39	border-top	19	1
 40	border-width	0	2
 41	box-model	1	2
 42	box	2	2
 43	button	3	2
 44	calendar	4	2
 45	camera	5	2
 46	card-stack-minus	6	2
 47	card-stack-plus	7	2
 48	card-stack	8	2
 49	caret-down	9	2
 50	caret-left	10	2
 51	caret-right	11	2
 52	caret-sort	12	2
 53	caret-up	13	2
 54	chat-bubble	14	2
 55	check-circled	15	2
 56	check	16	2
 57	checkbox	17	2
 58	chevron-down	18	2
 59	chevron-left	19	2
 60	chevron-right	0	3
 61	chevron-up	1	3
 62	circle-backslash	2	3
 63	circle	3	3
 64	clipboard-copy	4	3
 65	clipboard	5	3
 66	clock	6	3
 67	code	7	3
 68	color-wheel	8	3
 69	column-spacing	9	3
 70	columns	10	3
 71	commit	11	3
 72	component-1	12	3
 73	component-2	13	3
 74	component-boolean	14	3
 75	component-instance	15	3
 76	component-none	16	3
 77	component-placeholder	17	3
 78	container	18	3
 79	cookie	19	3
 80	copy	0	4
 81	corner-bottom-left	1	4
 82	corner-bottom-right	2	4
 83	corner-top-left	3	4
 84	corner-top-right	4	4
 85	corners	5	4
 86	countdown-timer	6	4
 87	counter-clockwise-clock	7	4
 88	crop	8	4
 89	cross-1	9	4
 90	cross-2	10	4
 91	cross-circled	11	4
 92	crosshair-1	12	4
 93	crosshair-2	13	4
 94	crumpled-paper	14	4
 95	cube	15	4
 96	cursor-arrow	16	4
 97	cursor-text	17	4
 98	dash	18	4
 99	dashboard	19	4
100	desktop	0	5
101	dimensions	1	5
102	disc	2	5
103	discord-logo	3	5
104	divider-horizontal	4	5
105	divider-vertical	5	5
106	dot-filled	6	5
107	dot	7	5
108	dots-horizontal	8	5
109	dots-vertical	9	5
110	double-arrow-down	10	5
111	double-arrow-left	11	5
112	double-arrow-right	12	5
113	double-arrow-up	13	5
114	download	14	5
115	drag-handle-dots-1	15	5
116	drag-handle-dots-2	16	5
117	drag-handle-horizontal	17	5
118	drag-handle-vertical	18	5
119	drawing-pin-filled	19	5
120	drawing-pin	0	6
121	dropdown-menu	1	6
122	enter-full-screen	2	6
123	enter	3	6
124	envelope-closed	4	6
125	envelope-open	5	6
126	eraser	6	6
